playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
belisro01,2015,1,TBA,AL,6,1,0,0,0,0,0,0,0,0,0,0
belivje01,2015,1,TBA,AL,5,0,0,0,0,0,0,0,0,0,0,0
bellaan01,2015,1,TBA,AL,17,0,0,0,0,0,0,0,0,0,0,0
beltbr01,2015,1,SFN,NL,137,492,73,138,33,5,18,68,9,3,56,147
beltrad01,2015,1,TEX,AL,143,567,83,163,32,4,18,83,1,0,41,65
beltrca01,2015,1,NYA,AL,133,478,57,132,34,1,19,67,0,0,45,85
benoijo01,2015,1,SDN,NL,67,0,0,0,0,0,0,0,0,0,0,0
bergmch01,2015,1,COL,NL,30,12,1,2,0,0,0,0,0,0,1,4
bernido01,2015,1,MIN,AL,4,5,1,1,1,0,0,2,0,0,1,3
berryqu01,2015,1,CHN,NL,8,1,1,0,0,0,0,0,2,1,0,1
betande01,2015,1,NYA,AL,74,0,0,0,0,0,0,0,0,0,0,0
betanra01,2015,1,COL,NL,45,0,0,0,0,0,0,0,0,0,0,0
bethach01,2015,1,ATL,NL,48,155,16,31,8,0,2,12,1,1,5,33
bettich01,2015,1,COL,NL,20,29,2,2,0,0,0,1,0,0,4,13
bettsmo01,2015,1,BOS,AL,145,597,92,174,42,8,18,77,21,6,46,82
biancje01,2015,1,BOS,AL,3,2,0,0,0,0,0,0,0,0,0,0
billich01,2015,1,PHI,NL,7,13,2,1,0,0,1,1,0,0,0,5
birdgr01,2015,1,NYA,AL,46,157,26,41,9,0,11,31,0,0,19,53
blackch02,2015,1,COL,NL,157,614,93,176,31,9,17,58,43,13,46,112
blairca01,2015,1,OAK,AL,11,31,3,4,0,0,1,3,0,0,4,18
blancan01,2015,1,PHI,NL,106,233,32,68,22,3,7,25,1,1,21,44
blancgr01,2015,1,SFN,NL,115,327,59,95,19,3,5,26,13,5,40,59
blankky01,2015,1,TEX,AL,18,67,10,21,5,0,3,6,1,0,4,20
blantjo01,2015,1,KCA,AL,15,1,0,0,0,0,0,0,0,0,0,0
blantjo01,2015,2,PIT,NL,21,3,0,0,0,0,0,0,0,0,0,1
blazemi01,2015,1,MIL,NL,45,4,0,1,1,0,0,1,0,0,0,2
blevije01,2015,1,NYN,NL,7,0,0,0,0,0,0,0,0,0,0,0
bloomwi01,2015,1,SEA,AL,35,69,2,11,1,0,0,4,1,1,2,13
bochybr02,2015,1,SFN,NL,4,0,0,0,0,0,0,0,0,0,0,0
boescbr01,2015,1,CIN,NL,51,89,4,13,2,0,1,5,1,0,4,30
bogaexa01,2015,1,BOS,AL,156,613,84,196,35,3,7,81,10,2,32,101
bogusbr01,2015,1,PHI,NL,22,58,9,15,3,0,2,5,2,0,3,21
bolsimi01,2015,1,LAN,NL,21,38,1,1,1,0,0,0,0,0,0,23
bonifem01,2015,1,CHA,AL,47,78,5,13,2,0,0,4,1,4,2,27
bourgja01,2015,1,CIN,NL,68,196,28,47,5,2,3,14,3,1,14,33
bourjpe01,2015,1,SLN,NL,117,195,32,39,8,3,4,13,5,8,19,59
bourju01,2015,1,MIA,NL,129,409,42,107,20,0,23,73,0,0,34,101
bournmi01,2015,1,CLE,AL,95,289,29,71,12,1,0,19,13,5,29,76
bournmi01,2015,2,ATL,NL,46,136,10,30,3,1,0,11,4,2,17,31
boxbebr01,2015,1,TBA,AL,69,0,0,0,0,0,0,0,0,0,0,0
boydma01,2015,1,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0
boydma01,2015,2,DET,AL,11,0,0,0,0,0,0,0,0,0,0,0
boyerbl01,2015,1,MIN,AL,68,0,0,0,0,0,0,0,0,0,0,0
brachbr01,2015,1,BAL,AL,62,0,0,0,0,0,0,0,0,0,0,0
brachsi01,2015,1,ARI,NL,13,0,0,0,0,0,0,0,0,0,0,0
bradlar01,2015,1,ARI,NL,8,14,0,2,0,0,0,0,0,1,0,7
bradlja02,2015,1,BOS,AL,74,221,43,55,17,4,10,43,3,0,27,69
brantmi02,2015,1,CLE,AL,137,529,68,164,45,0,15,84,15,1,60,51
brantro01,2015,1,CHA,AL,14,33,3,4,1,0,1,6,0,0,2,8
braunry02,2015,1,MIL,NL,140,506,87,144,27,3,25,84,24,4,54,115
breslcr01,2015,1,BOS,AL,45,0,0,0,0,0,0,0,0,0,0,0
brettry01,2015,1,TBA,AL,3,3,0,2,1,0,0,0,0,0,1,0
brighja01,2015,1,ATL,NL,12,1,0,0,0,0,0,0,0,0,0,1
brignre01,2015,1,MIA,NL,17,13,2,1,0,0,0,0,0,0,3,5
britoso01,2015,1,ARI,NL,18,33,5,10,3,1,0,1,1,0,1,7
brittza01,2015,1,BAL,AL,64,0,0,0,0,0,0,0,0,0,0,0
broadmi01,2015,1,SFN,NL,21,0,0,0,0,0,0,0,0,0,0,0
brookaa01,2015,1,KCA,AL,2,0,0,0,0,0,0,0,0,0,0,0
brookaa01,2015,2,OAK,AL,11,2,0,0,0,0,0,0,0,0,0,0
brothre01,2015,1,COL,NL,17,0,0,0,0,0,0,0,0,0,0,0
brownbr02,2015,1,COL,NL,36,0,0,0,0,0,0,0,0,0,0,0
browndo01,2015,1,PHI,NL,63,189,19,43,6,1,5,25,3,1,14,36
